Source,sat_id,Orbit,start_idx,end_idx,Duration
WalkerDelta_2,1,0,0,3,15
WalkerDelta_92,91,9,2,33,155
WalkerDelta_65,64,6,6,24,90
WalkerDelta_7,6,0,16,50,170
WalkerDelta_79,78,7,65,105,200
WalkerDelta_1,0,0,93,124,155
WalkerDelta_4,3,0,101,122,105
WalkerDelta_91,90,9,121,153,160
WalkerDelta_6,5,0,141,165,120
WalkerDelta_78,77,7,183,227,220
WalkerDelta_10,9,0,212,243,155
WalkerDelta_3,2,0,220,243,115
WalkerDelta_100,99,9,243,272,145
WalkerDelta_77,76,7,301,347,230
WalkerDelta_9,8,0,333,361,140
WalkerDelta_2,1,0,341,362,105
WalkerDelta_99,98,9,366,389,115
WalkerDelta_61,60,6,414,431,85
WalkerDelta_76,75,7,420,467,235
WalkerDelta_8,7,0,458,475,85
WalkerDelta_1,0,0,463,479,80
WalkerDelta_70,69,6,531,557,130
WalkerDelta_75,74,7,540,585,225
WalkerDelta_47,46,4,554,579,125
WalkerDelta_10,9,0,587,596,45
WalkerDelta_69,68,6,649,681,160
WalkerDelta_74,73,7,662,702,200
WalkerDelta_46,45,4,667,704,185
WalkerDelta_68,67,6,769,802,165
WalkerDelta_73,72,7,785,817,160
WalkerDelta_45,44,4,787,822,175
WalkerDelta_23,22,2,808,829,105
WalkerDelta_69,68,6,880,900,100
WalkerDelta_67,66,6,889,922,165
WalkerDelta_19,18,1,905,934,145
WalkerDelta_72,71,7,912,928,80
WalkerDelta_44,43,4,914,936,110
WalkerDelta_22,21,2,922,950,140
WalkerDelta_68,67,6,994,1021,135
WalkerDelta_66,65,6,1011,1037,130
WalkerDelta_18,17,1,1019,1058,195
WalkerDelta_21,20,2,1040,1069,145
WalkerDelta_67,66,6,1110,1140,150
WalkerDelta_75,74,7,1132,1149,85
WalkerDelta_17,16,1,1136,1179,215
WalkerDelta_65,64,6,1137,1148,55
WalkerDelta_30,29,2,1159,1186,135
WalkerDelta_66,65,6,1228,1258,150
WalkerDelta_74,73,7,1246,1273,135
WalkerDelta_16,15,1,1254,1300,230
WalkerDelta_29,28,2,1280,1302,110
