Source,Orbit,StartTime,EndTime,StartSeconds,EndSeconds,Duration
WalkerDelta_35,3,2024-01-01 00:21:30,2024-01-01 00:23:25,1290.0,1405.0,115
WalkerDelta_34,3,2024-01-01 00:30:25,2024-01-01 00:33:25,1825.0,2005.0,180
WalkerDelta_12,1,2024-01-01 00:36:40,2024-01-01 00:38:20,2200.0,2300.0,100
WalkerDelta_44,3,2024-01-01 00:39:30,2024-01-01 00:43:00,2370.0,2580.0,210
WalkerDelta_8,0,2024-01-01 00:44:35,2024-01-01 00:47:05,2675.0,2825.0,150
WalkerDelta_22,1,2024-01-01 00:45:15,2024-01-01 00:47:20,2715.0,2840.0,125
WalkerDelta_43,3,2024-01-01 00:48:40,2024-01-01 00:52:25,2920.0,3145.0,225
WalkerDelta_50,4,2024-01-01 00:51:25,2024-01-01 00:52:35,3085.0,3155.0,70
WalkerDelta_7,0,2024-01-01 00:53:05,2024-01-01 00:56:20,3185.0,3380.0,195
WalkerDelta_21,1,2024-01-01 00:54:05,2024-01-01 00:56:15,3245.0,3375.0,130
WalkerDelta_42,3,2024-01-01 00:58:00,2024-01-01 01:01:40,3480.0,3700.0,220
WalkerDelta_49,4,2024-01-01 01:00:40,2024-01-01 01:02:35,3640.0,3755.0,115
WalkerDelta_6,0,2024-01-01 01:01:50,2024-01-01 01:05:30,3710.0,3930.0,220
WalkerDelta_20,1,2024-01-01 01:03:05,2024-01-01 01:05:15,3785.0,3915.0,130
WalkerDelta_62,5,2024-01-01 01:05:25,2024-01-01 01:07:55,3925.0,4075.0,150
WalkerDelta_41,3,2024-01-01 01:07:30,2024-01-01 01:10:45,4050.0,4245.0,195
WalkerDelta_48,4,2024-01-01 01:10:00,2024-01-01 01:12:05,4200.0,4325.0,125
WalkerDelta_5,0,2024-01-01 01:10:50,2024-01-01 01:14:35,4250.0,4475.0,225
WalkerDelta_19,1,2024-01-01 01:12:10,2024-01-01 01:14:05,4330.0,4445.0,115
WalkerDelta_61,5,2024-01-01 01:14:10,2024-01-01 01:17:45,4450.0,4665.0,215
WalkerDelta_40,3,2024-01-01 01:17:20,2024-01-01 01:18:50,4640.0,4730.0,90
WalkerDelta_47,4,2024-01-01 01:19:15,2024-01-01 01:21:30,4755.0,4890.0,135
WalkerDelta_4,0,2024-01-01 01:19:55,2024-01-01 01:23:30,4795.0,5010.0,215
WalkerDelta_18,1,2024-01-01 01:21:20,2024-01-01 01:22:50,4880.0,4970.0,90
WalkerDelta_60,5,2024-01-01 01:23:00,2024-01-01 01:27:05,4980.0,5225.0,245
WalkerDelta_46,4,2024-01-01 01:28:40,2024-01-01 01:30:45,5320.0,5445.0,125
WalkerDelta_3,0,2024-01-01 01:29:35,2024-01-01 01:32:10,5375.0,5530.0,155
WalkerDelta_17,1,2024-01-01 01:30:35,2024-01-01 01:31:30,5435.0,5490.0,55
WalkerDelta_59,5,2024-01-01 01:31:55,2024-01-01 01:36:00,5515.0,5760.0,245
WalkerDelta_24,2,2024-01-01 01:37:55,2024-01-01 01:40:10,5875.0,6010.0,135
WalkerDelta_45,4,2024-01-01 01:38:05,2024-01-01 01:39:55,5885.0,5995.0,110
WalkerDelta_16,1,2024-01-01 01:40:00,2024-01-01 01:40:10,6000.0,6010.0,10
WalkerDelta_58,5,2024-01-01 01:40:55,2024-01-01 01:44:50,6055.0,6290.0,235
