client_id,Source,Orbit
0,WalkerDelta_1,0
1,WalkerDelta_2,0
2,WalkerDelta_3,0
3,WalkerDelta_4,0
4,WalkerDelta_5,0
5,WalkerDelta_6,0
6,WalkerDelta_7,0
7,WalkerDelta_8,0
8,WalkerDelta_9,0
9,WalkerDelta_10,0
10,WalkerDelta_11,0
11,WalkerDelta_12,1
12,WalkerDelta_13,1
13,WalkerDelta_14,1
14,WalkerDelta_15,1
15,WalkerDelta_16,1
16,WalkerDelta_17,1
17,WalkerDelta_18,1
18,WalkerDelta_19,1
19,WalkerDelta_20,1
20,WalkerDelta_21,1
21,WalkerDelta_22,1
22,WalkerDelta_23,2
23,WalkerDelta_24,2
24,WalkerDelta_25,2
25,WalkerDelta_26,2
26,WalkerDelta_27,2
27,WalkerDelta_28,2
28,WalkerDelta_29,2
29,WalkerDelta_30,2
30,WalkerDelta_31,2
31,WalkerDelta_32,2
32,WalkerDelta_33,2
33,WalkerDelta_34,3
34,WalkerDelta_35,3
35,WalkerDelta_36,3
36,WalkerDelta_37,3
37,WalkerDelta_38,3
38,WalkerDelta_39,3
39,WalkerDelta_40,3
40,WalkerDelta_41,3
41,WalkerDelta_42,3
42,WalkerDelta_43,3
43,WalkerDelta_44,3
44,WalkerDelta_45,4
45,WalkerDelta_46,4
46,WalkerDelta_47,4
47,WalkerDelta_48,4
48,WalkerDelta_49,4
49,WalkerDelta_50,4
50,WalkerDelta_51,4
51,WalkerDelta_52,4
52,WalkerDelta_53,4
53,WalkerDelta_54,4
54,WalkerDelta_55,4
55,WalkerDelta_56,5
56,WalkerDelta_57,5
57,WalkerDelta_58,5
58,WalkerDelta_59,5
59,WalkerDelta_60,5
60,WalkerDelta_61,5
61,WalkerDelta_62,5
62,WalkerDelta_63,5
63,WalkerDelta_64,5
64,WalkerDelta_65,5
65,WalkerDelta_66,5
